Job Title,Department,Team,Employment Type,Location,Workplace Type,Published Date,Salary Min,Salary Max,Job URL,Salary Midpoint
"Technical Program Manager, Compute Infrastructure",Technical Program Management,Technical Program Management,FullTime,San Francisco,Not Specified,2026-03-12 16:38:15.322000+00:00,257000.0,335000.0,https://jobs.ashbyhq.com/openai/8fb1615c-34bf-47c4-a1d1-b7b2f836bbd3,296000.0
Research Engineer,Research,Research,FullTime,San Francisco,Not Specified,2025-04-05 00:03:20.653000+00:00,250000.0,445000.0,https://jobs.ashbyhq.com/openai/240d459b-696d-43eb-8497-fab3e56ecd9b,347500.0
Account Director - Tokyo,Go To Market,Sales,FullTime,"Tokyo, Japan",Not Specified,2026-01-23 00:17:18.483000+00:00,,,https://jobs.ashbyhq.com/openai/18f58952-c242-4562-8732-073a0ae8029e,
"Research Engineer, Retrieval & Search, Applied Engineering",Applied AI,Applied AI Engineering,FullTime,San Francisco,Not Specified,2024-03-20 21:33:20.763000+00:00,293000.0,585000.0,https://jobs.ashbyhq.com/openai/7322d344-9325-4a92-8445-0a2c4e9272f8,439000.0
"Account Director, Startups",Go To Market,Sales,FullTime,São Paulo,Hybrid,2026-08-31 21:22:23.258000+00:00,,,https://jobs.ashbyhq.com/openai/0b428c6d-7c06-4feb-82b6-5bbe5cda2a18,
"Researcher, Robustness & Safety Training",Safety Systems,Safety Systems,FullTime,San Francisco,Not Specified,2023-05-25 04:06:29.356000+00:00,380000.0,500000.0,https://jobs.ashbyhq.com/openai/2560ed50-5535-42b8-b069-9ebc28ce7493,440000.0
"Software Engineer, Scaled Abuse",Applied AI,Applied AI Engineering,FullTime,San Francisco,Not Specified,2026-06-08 16:15:58.343000+00:00,266000.0,445000.0,https://jobs.ashbyhq.com/openai/3c67f712-697d-48d8-b05c-01be896e61da,355500.0
"Software Engineer, Data Infrastructure",Scaling,Scaling,FullTime,San Francisco,Not Specified,2024-06-27 22:14:24.195000+00:00,266000.0,445000.0,https://jobs.ashbyhq.com/openai/f763c6b3-5167-4a67-b691-4c3fa2c44156,355500.0
Training: ML Framework Engineer,Scaling,Runtime,FullTime,San Francisco,Not Specified,2025-10-29 02:18:26.437000+00:00,295000.0,500000.0,https://jobs.ashbyhq.com/openai/d8794980-1d3f-4d82-8b48-811449b6c492,397500.0
"Software Engineer, Developer Productivity",Applied AI,Applied AI Infrastructure,FullTime,San Francisco,Not Specified,2025-03-27 16:44:10.676000+00:00,210000.0,490000.0,https://jobs.ashbyhq.com/openai/2cba0d45-7a4f-4f38-ac73-3f8633bf0349,350000.0
"Software Engineer, Data Acquisition ",Research,Foundations,FullTime,San Francisco,Not Specified,2023-09-22 01:31:37.849000+00:00,295000.0,536000.0,https://jobs.ashbyhq.com/openai/41d9d129-2e58-4ad3-be81-2e5096f4da4d,415500.0
Data Engineer,Applied AI,Applied AI Engineering,FullTime,San Francisco,Hybrid,2023-09-26 22:34:48.884000+00:00,235000.0,385000.0,https://jobs.ashbyhq.com/openai/fc5bbc77-a30c-4e7a-9acc-8a2e748545b4,310000.0
"Research Engineer, Frontier Evals & Environments",Research,Agents,FullTime,San Francisco,Not Specified,2025-04-13 17:25:42.666000+00:00,295000.0,380000.0,https://jobs.ashbyhq.com/openai/bba18df5-f30f-4d2c-909c-30e651f95579,337500.0
Clean Energy and New Technology Lead,Scaling,Scaling,FullTime,US - Remote,Remote,2026-09-11 14:05:34.462000+00:00,223000.0,385000.0,https://jobs.ashbyhq.com/openai/676d359b-0ef6-40a5-81d5-d4f2eb198eab,304000.0
Research Scientist,Research,Research,FullTime,San Francisco,Not Specified,2025-04-05 00:03:14.982000+00:00,250000.0,445000.0,https://jobs.ashbyhq.com/openai/5f0c6579-0bfb-4a06-8a43-1dd371499e10,347500.0
"Software Engineer, Observability",Applied AI,Applied AI Infrastructure,FullTime,San Francisco,Not Specified,2026-02-19 20:41:43.290000+00:00,266000.0,445000.0,https://jobs.ashbyhq.com/openai/d4dcd344-40cf-44d6-a7dd-172118eb0842,355500.0
"Software Engineer, Collective Communication",Scaling,Systems,FullTime,San Francisco,Not Specified,2024-04-20 03:52:24.444000+00:00,380000.0,500000.0,https://jobs.ashbyhq.com/openai/340c0c22-8d8f-4232-b17e-f642b64c25c3,440000.0
Senior Technical Program Manager - Security,Security,Security,FullTime,US - Remote,Remote,2026-06-25 17:30:54.205000+00:00,165400.0,285000.0,https://jobs.ashbyhq.com/openai/c414f15f-60c4-40b5-a896-d2ad6c7f4415,225200.0
"Software Engineer, Security Observability",Security,Security,FullTime,San Francisco,Not Specified,2026-04-15 16:54:42.457000+00:00,293000.0,325000.0,https://jobs.ashbyhq.com/openai/1e4e9985-babf-4bd9-8fe8-a2016250780d,309000.0
"Software Engineer, Financial Engineering",Applied AI,Applied AI Engineering,FullTime,San Francisco,Hybrid,2026-08-28 17:41:41.133000+00:00,266000.0,445000.0,https://jobs.ashbyhq.com/openai/4ef5bf23-cf0e-4b97-a639-11f963c99b88,355500.0
"Security Engineer, Application Security",Security,Security,FullTime,San Francisco,Hybrid,2024-10-02 20:52:24.155000+00:00,266000.0,445000.0,https://jobs.ashbyhq.com/openai/0322d6d8-6588-4209-a304-83e768063a25,355500.0
"Software Engineer, Integrity Foundations",Applied AI,Applied AI Engineering,FullTime,San Francisco,Not Specified,2024-06-11 23:45:37.932000+00:00,266000.0,445000.0,https://jobs.ashbyhq.com/openai/991948b7-0305-4125-bb9a-625f5bc24189,355500.0
"Software Engineer, Youth Well-Being",Applied AI,Applied AI Engineering,FullTime,San Francisco,Not Specified,2024-11-22 16:46:12.888000+00:00,266000.0,445000.0,https://jobs.ashbyhq.com/openai/f4e8a433-ae96-44ac-a7f9-97070335395f,355500.0
